epoch,total,score,position,dimension,angle
124,22682.0,20311.0,938.54,1078.0,354.55
125,22329.0,19990.0,924.82,1065.0,348.52
126,22624.0,20254.0,938.33,1079.0,352.17
127,22454.0,20090.0,932.38,1078.2,353.86
128,22193.0,19851.0,923.43,1067.9,350.67
129,22100.0,19771.0,917.12,1062.4,349.92
130,22100.0,19769.0,918.75,1062.4,349.34
131,22204.0,19854.0,926.15,1072.2,351.88
132,21907.0,19585.0,908.32,1064.2,348.87
133,22013.0,19682.0,914.43,1068.4,348.45
134,22064.0,19737.0,916.31,1059.4,351.49
135,21962.0,19640.0,913.85,1061.4,346.84
136,21789.0,19483.0,908.85,1050.3,346.73
137,21882.0,19557.0,912.51,1062.8,349.41
138,21950.0,19629.0,913.48,1058.8,348.55
139,21642.0,19342.0,902.41,1054.1,344.01
140,21720.0,19417.0,903.95,1053.4,346.37
141,21757.0,19445.0,906.12,1058.6,347.64
142,21711.0,19410.0,903.04,1049.6,348.07
143,21703.0,19393.0,903.29,1057.9,349.02
144,21829.0,19518.0,909.33,1053.9,348.18
145,21629.0,19320.0,902.9,1057.2,349.08
146,21605.0,19301.0,902.81,1051.9,349.01
147,21663.0,19358.0,903.85,1052.6,348.21
148,21687.0,19380.0,902.81,1055.3,348.93
149,21541.0,19255.0,897.9,1044.5,344.03
150,21680.0,19378.0,900.13,1056.6,345.83
151,21935.0,19599.0,915.26,1068.0,352.54
152,21619.0,19321.0,902.7,1047.7,347.54
153,21681.0,19377.0,903.72,1054.4,345.65
154,21671.0,19359.0,902.45,1060.2,349.56
155,21633.0,19335.0,899.83,1050.9,347.15
156,21867.0,19547.0,911.18,1059.8,349.61
157,21589.0,19285.0,900.64,1057.5,345.98
158,21599.0,19295.0,902.94,1054.7,347.29
159,21457.0,19165.0,894.51,1050.5,346.23
160,21574.0,19276.0,900.48,1050.7,346.27
161,21690.0,19380.0,906.0,1054.9,348.91
162,21651.0,19346.0,904.38,1054.0,346.22
163,21814.0,19511.0,906.87,1049.7,345.74
164,21819.0,19505.0,909.6,1055.3,348.45
165,21805.0,19501.0,910.47,1048.6,344.67
166,21726.0,19428.0,900.33,1052.2,345.65
167,21717.0,19407.0,905.17,1055.2,348.71
168,21881.0,19562.0,909.13,1060.2,350.12
169,21711.0,19407.0,904.27,1055.8,344.46
170,21733.0,19422.0,903.54,1059.3,348.03
171,21888.0,19578.0,908.45,1053.4,348.22
172,21972.0,19656.0,913.18,1055.9,347.06
173,21743.0,19447.0,903.53,1047.5,345.01
174,21819.0,19511.0,905.34,1052.4,349.66
175,22017.0,19699.0,912.05,1059.0,346.7
176,21824.0,19521.0,904.59,1050.9,347.63
177,21905.0,19585.0,910.89,1061.8,347.23
178,21861.0,19556.0,907.53,1051.3,346.72
179,22030.0,19716.0,914.69,1052.6,346.62
180,21873.0,19570.0,906.14,1049.4,347.06
181,21835.0,19525.0,907.85,1054.0,348.46
182,22164.0,19843.0,916.55,1057.2,347.62
183,22358.0,20027.0,923.48,1056.5,351.24
184,22052.0,19743.0,909.8,1051.7,346.89
185,21978.0,19668.0,911.3,1050.8,348.44
186,22065.0,19758.0,910.45,1049.2,346.65
187,22209.0,19890.0,915.95,1053.4,350.09
188,22198.0,19878.0,912.6,1061.6,346.54
189,22281.0,19960.0,919.39,1052.6,348.61
190,22149.0,19837.0,912.57,1055.4,344.29
191,22475.0,20150.0,926.6,1052.8,346.2
192,22306.0,19995.0,915.05,1051.2,343.99
193,22431.0,20116.0,921.95,1048.4,345.43
194,22549.0,20220.0,925.63,1055.3,347.71
195,22484.0,20148.0,927.64,1058.4,350.48
196,22529.0,20189.0,926.54,1063.8,349.34
197,22841.0,20497.0,933.84,1061.6,348.86
198,22899.0,20555.0,936.51,1060.6,347.67
199,22474.0,20156.0,920.08,1053.9,343.65
200,22750.0,20429.0,924.6,1049.4,348.0
201,22687.0,20369.0,927.0,1047.3,344.49
202,23026.0,20697.0,937.86,1044.1,346.52
203,22883.0,20538.0,937.76,1061.0,345.9
204,22778.0,20445.0,931.81,1053.0,347.91
205,22705.0,20400.0,921.44,1040.7,342.67
206,23221.0,20887.0,940.54,1047.3,345.76
207,22884.0,20545.0,936.62,1054.6,348.08
208,23049.0,20715.0,931.96,1056.3,345.79
209,22902.0,20579.0,933.33,1044.9,344.03
210,23167.0,20837.0,939.05,1047.7,343.46
211,23184.0,20858.0,935.01,1050.9,340.86
212,23309.0,20972.0,946.35,1048.6,342.19
213,23164.0,20804.0,947.52,1064.4,347.46
214,22819.0,20497.0,929.71,1047.9,343.53
215,23247.0,20923.0,939.33,1041.6,343.46
216,23507.0,21151.0,950.56,1060.1,345.56
217,22969.0,20650.0,931.7,1043.7,343.35
218,23528.0,21179.0,951.95,1051.6,345.02
219,23595.0,21239.0,951.5,1056.5,347.28
220,23494.0,21155.0,942.32,1051.3,345.52
221,23422.0,21068.0,945.79,1064.1,343.59
222,23504.0,21164.0,946.22,1052.1,342.47
