epoch,total,score,position,dimension,angle
129,3149.3,1880.4,723.5,441.8,103.58
130,3177.1,1895.9,731.08,444.84,105.33
131,3174.7,1896.3,731.34,442.54,104.52
132,3142.9,1880.3,721.75,436.24,104.62
133,3120.5,1865.2,717.64,434.66,103.06
134,3123.8,1861.6,718.84,439.37,104.0
135,3117.0,1861.4,716.07,436.79,102.73
136,3099.0,1850.0,713.66,431.46,103.95
137,3082.0,1841.4,709.55,428.37,102.67
138,3141.3,1869.7,721.88,442.39,107.29
139,3104.0,1850.7,716.07,434.51,102.71
140,3089.3,1843.3,708.74,433.6,103.65
141,3083.2,1837.6,708.05,434.52,103.02
142,3087.2,1845.0,709.05,431.66,101.5
143,3109.1,1854.6,715.23,434.41,104.85
144,3091.6,1843.2,712.34,433.37,102.73
145,3068.8,1828.5,705.1,431.24,104.03
146,3094.7,1849.2,712.06,431.27,102.17
147,3084.1,1840.4,707.55,433.08,103.12
148,3079.7,1837.8,707.3,431.44,103.13
149,3084.5,1842.5,710.73,429.43,101.86
150,3056.3,1822.3,705.34,427.4,101.21
151,3089.6,1845.7,708.89,432.18,102.87
152,3070.4,1832.5,706.62,429.09,102.19
153,3085.2,1841.1,710.68,431.36,102.13
154,3078.0,1837.2,708.09,430.14,102.59
155,3071.9,1840.4,706.21,424.9,100.46
156,3071.4,1834.6,708.99,426.89,100.97
157,3090.3,1846.1,712.82,429.46,101.87
158,3064.1,1829.1,706.22,428.77,100.05
159,3045.6,1819.6,700.17,425.91,99.998
160,3076.0,1836.3,706.69,431.99,101.01
161,3089.0,1844.6,709.82,431.84,102.68
162,3073.3,1834.0,707.66,429.55,102.05
163,3069.1,1829.7,704.53,431.84,103.08
164,3066.3,1829.0,706.12,429.61,101.56
165,3104.9,1854.0,715.63,433.13,102.13
166,3063.9,1830.5,703.56,428.39,101.52
167,3080.8,1837.8,708.89,431.92,102.25
168,3093.6,1850.5,711.03,429.71,102.39
169,3093.1,1848.6,712.61,429.96,101.97
170,3111.3,1856.4,714.91,436.35,103.62
171,3110.3,1857.6,716.89,433.0,102.85
172,3104.6,1854.4,715.13,431.66,103.42
173,3099.7,1851.1,714.21,432.27,102.12
174,3101.5,1858.5,713.95,428.71,100.37
175,3130.3,1870.9,718.26,436.99,104.17
176,3115.4,1865.9,717.01,429.24,103.24
177,3135.6,1878.1,720.33,435.43,101.74
178,3118.9,1863.6,715.69,436.16,103.42
179,3128.1,1872.9,719.43,432.46,103.34
180,3111.9,1860.7,714.65,434.7,101.89
181,3153.6,1885.6,724.84,438.96,104.21
182,3140.8,1882.3,720.88,435.17,102.46
183,3153.8,1884.6,726.27,439.53,103.41
184,3138.3,1872.8,720.73,441.23,103.46
185,3164.9,1897.5,728.02,438.3,101.03
186,3177.2,1897.8,730.06,445.56,103.77
187,3163.9,1892.4,727.29,441.92,102.26
188,3196.6,1923.7,730.63,439.44,102.81
189,3191.3,1909.5,733.92,444.41,103.53
190,3194.9,1916.3,733.08,443.04,102.52
191,3175.9,1902.5,728.8,441.95,102.61
192,3218.9,1938.3,733.79,444.12,102.7
193,3206.6,1920.4,737.27,447.03,101.91
194,3203.8,1917.9,736.09,446.02,103.75
195,3225.0,1937.0,742.16,443.57,102.28
196,3246.4,1945.0,745.44,451.96,104.06
197,3245.3,1949.8,744.7,447.29,103.55
198,3250.2,1961.0,741.32,443.87,104.01
199,3257.0,1956.0,746.1,451.9,103.07
200,3224.3,1943.3,736.94,443.21,100.8
201,3258.5,1961.5,745.22,448.93,102.88
202,3213.2,1930.1,739.35,442.74,100.96
203,3314.4,2007.4,752.48,451.48,103.1
204,3320.2,2011.0,754.35,449.77,105.08
