epoch,total,score,position,dimension,angle
1,156330.0,139270.0,2548.9,13474.0,1043.0
2,97963.0,83819.0,2373.0,10953.0,817.8
3,59452.0,51994.0,2303.7,4398.8,755.71
4,54702.0,49426.0,2281.0,2255.6,739.61
5,53006.0,48027.0,2257.8,1997.2,724.6
6,54161.0,49305.0,2231.9,1910.2,714.27
7,52128.0,47352.0,2220.6,1849.8,705.8
8,50932.0,46264.0,2192.9,1779.0,695.55
9,50531.0,45931.0,2172.5,1741.7,686.22
10,49314.0,44777.0,2143.3,1718.8,675.29
11,48802.0,44329.0,2119.2,1695.8,657.67
12,48305.0,43865.0,2096.7,1699.1,644.34
13,47778.0,43398.0,2075.2,1675.4,629.76
14,46858.0,42536.0,2051.3,1653.2,617.48
15,46848.0,42515.0,2050.1,1663.9,618.46
16,46293.0,42000.0,2034.6,1646.5,611.41
17,45739.0,41464.0,2025.7,1642.3,607.29
18,45502.0,41243.0,2022.9,1630.1,606.07
19,45122.0,40891.0,2006.3,1623.3,601.99
20,45006.0,40763.0,2010.1,1628.5,604.42
21,44810.0,40576.0,2005.3,1624.7,603.7
22,44422.0,40210.0,1996.3,1617.4,598.19
23,44682.0,40439.0,2012.4,1628.1,603.26
24,44434.0,40208.0,2004.6,1620.3,601.01
