,0
269,3.7502500000000006e-06
270,3.7152155413998944e-06
271,3.6798658033114746e-06
272,3.6442099607612864e-06
273,3.6082572682253047e-06
274,3.5720170572269343e-06
275,3.5354987339150165e-06
276,3.4987117766224566e-06
277,3.4616657334061264e-06
278,3.4243702195686626e-06
279,3.3868349151628184e-06
280,3.3490695624790007e-06
281,3.3110839635166595e-06
282,3.2728879774401818e-06
283,3.23449151801994e-06
284,3.195904551059174e-06
285,3.157137091807369e-06
286,3.1181992023607923e-06
287,3.0791009890508787e-06
288,3.0398525998211324e-06
289,3.0004642215932238e-06
290,2.960946077622977e-06
291,2.921308424846923e-06
292,2.8815615512201088e-06
293,2.841715773045859e-06
294,2.80178143229818e-06
295,2.7617688939375004e-06
296,2.7216885432204414e-06
297,2.681550783004326e-06
298,2.6413660310471157e-06
299,2.6011447173034837e-06
300,2.560897281217714e-06
301,2.520634169014145e-06
302,2.480365830985857e-06
303,2.440102718782288e-06
304,2.3998552826965176e-06
305,2.3596339689528848e-06
306,2.319449216995676e-06
307,2.2793114567795604e-06
308,2.2392311060625005e-06
309,2.1992185677018203e-06
310,2.159284226954142e-06
311,2.119438448779892e-06
312,2.0796915751530777e-06
313,2.040053922377024e-06
314,2.000535778406777e-06
315,1.9611474001788694e-06
316,1.9218990109491226e-06
317,1.8828007976392096e-06
318,1.8438629081926328e-06
319,1.805095448940827e-06
320,1.7665084819800617e-06
321,1.7281120225598195e-06
322,1.6899160364833416e-06
323,1.6519304375210009e-06
324,1.614165084837183e-06
325,1.5766297804313379e-06
326,1.539334266593875e-06
327,1.5022882233775441e-06
328,1.4655012660849844e-06
329,1.428982942773067e-06
330,1.3927427317746969e-06
331,1.3567900392387145e-06
332,1.3211341966885265e-06
333,1.2857844586001063e-06
334,1.250750000000001e-06
335,1.2160399140839431e-06
336,1.1816632098567212e-06
337,1.147628809793886e-06
338,1.1139455475259206e-06
339,1.0806221655454766e-06
340,1.0476673129382535e-06
341,1.0150895431381334e-06
342,9.828973117071317e-07
343,9.510989741407606e-07
344,9.197027836993549e-07
345,8.887168892659422e-07
346,8.581493332311955e-07
347,8.28008049406034e-07
348,7.983008609624008e-07
349,7.690354784027565e-07
350,7.402194975588205e-07
351,7.118603976200697e-07
352,6.839655391925171e-07
353,6.565421623882653e-07
354,6.295973849463326e-07
355,6.031382003852483e-07
356,5.77171476187879e-07
357,5.517039520189754e-07
358,5.267422379758963e-07
359,5.022928128729494e-07
360,4.783620225598191e-07
361,4.5495607827450284e-07
362,4.3208105503117796e-07
363,4.0974289004343835e-07
364,3.879473811832855e-07
365,3.6670018547629065e-07
366,3.4600681763331744e-07
367,3.258726486191729e-07
368,3.063029042585783e-07
369,2.873026638798027e-07
370,2.688768589963228e-07
371,2.510302720268525e-07
372,2.3376753505406179e-07
373,2.1709312862231888e-07
374,2.0101138057476887e-07
375,1.8552646493003805e-07
376,1.706424007988676e-07
377,1.5636305134095584e-07
378,1.4269212276227127e-07
379,1.2963316335311016e-07
380,1.1718956256713379e-07
381,1.0536455014163904e-07
382,9.416119525927793e-08
383,8.358240575145215e-08
384,7.3630927343583e-08
385,6.430934294246178e-08
386,5.562007196585269e-08
387,4.756536971453613e-08
388,4.014732678694223e-08
389,3.336786853653685e-08
390,2.7228754572098e-08
391,2.1731578301005705e-08
392,1.6877766515676685e-08
393,1.2668579023237258e-08
394,9.105108318542283e-09
395,6.188279300616825e-09
396,3.918849032599837e-09
397,2.2974065452470743e-09
398,1.324372684048995e-09
399,1e-09
400,5.008e-07
401,1.0006000000000002e-06
402,1.5004e-06
403,2.0002000000000003e-06
404,2.5e-06
405,2.499837846101733e-06
406,2.4993514264939845e-06
407,2.4985408674269923e-06
408,2.4974063792814084e-06
409,2.4959482565136957e-06
410,2.4941668775797024e-06
411,2.4920627048364324e-06
412,2.489636284422042e-06
413,2.4868882461140888e-06
414,2.4838193031660723e-06
415,2.480430252122311e-06
416,2.4767219726111974e-06
417,2.4726954271168902e-06
418,2.468351660729504e-06
419,2.4636918008738523e-06
420,2.4587170570168282e-06
421,2.4534287203534835e-06
422,2.4478281634719035e-06
423,2.4419168399969464e-06
424,2.4356962842129584e-06
425,2.42916811066555e-06
426,2.4223340137425393e-06
427,2.4151957672341735e-06
428,2.407755223872742e-06
429,2.400014314851701e-06
430,2.39197504932443e-06
431,2.3836395138827566e-06
432,2.375009872015382e-06
433,2.366088363546347e-06
434,2.356877304053686e-06
435,2.347379084268417e-06
436,2.3375961694540286e-06
437,2.3275310987666217e-06
438,2.317186484595869e-06
439,2.3065650118869717e-06
440,2.2956694374437782e-06
441,2.2845025892132603e-06
442,2.2730673655515146e-06
443,2.261366734471497e-06
444,2.249403732872675e-06
445,2.237181465752798e-06
446,2.2247031054019965e-06
447,2.2119718905794146e-06
448,2.1989911256725877e-06
449,2.185764179839791e-06
450,2.1722944861355728e-06
451,2.1585855406197037e-06
452,2.1446409014497794e-06
453,2.1304641879576935e-06
454,2.1160590797102446e-06
455,2.101429315554103e-06
456,2.0865786926453936e-06
457,2.0715110654641417e-06
458,2.056230344813845e-06
459,2.040740496806424e-06
460,2.025045541832815e-06
461,2.00914955351948e-06
462,1.9930566576710956e-06
463,1.976771031199701e-06
464,1.9602969010405794e-06
465,1.9436385430551563e-06
466,1.9268002809212005e-06
467,1.9097864850106132e-06
468,1.8926015712550967e-06
469,1.8752500000000002e-06
470,1.8577362748466364e-06
471,1.8400649414833714e-06
472,1.8222405865057921e-06
473,1.8042678362262523e-06
474,1.7861513554731164e-06
475,1.7678958463800012e-06
476,1.7495060471653368e-06
477,1.7309867309025625e-06
478,1.7123427042812736e-06
479,1.6935788063596485e-06
480,1.6746999073084661e-06
481,1.6557109071470557e-06
482,1.636616734471497e-06
483,1.6174223451754009e-06
484,1.5981327211636078e-06
485,1.5787528690591348e-06
486,1.5592878189037046e-06
487,1.5397426228521993e-06
488,1.520122353861374e-06
489,1.5004321043731678e-06
490,1.4806769849929625e-06
491,1.4608621231631248e-06
492,1.4409926618321768e-06
493,1.4210737581199442e-06
494,1.401110581979026e-06
495,1.3811083148529333e-06
496,1.3610721483312428e-06
497,1.3410072828021223e-06
498,1.3209189261025689e-06
499,1.3008122921667145e-06
500,1.2806925996725478e-06
501,1.260565070687407e-06
502,1.2404349293125937e-06
503,1.220307400327453e-06
504,1.200187707833286e-06
505,1.1800810738974312e-06
506,1.1599927171978782e-06
507,1.139927851668758e-06
508,1.119891685147067e-06
509,1.0998894180209738e-06
510,1.079926241880056e-06
511,1.0600073381678234e-06
512,1.0401378768368755e-06
513,1.020323015007038e-06
514,1.0005678956268324e-06
515,9.808776461386265e-07
516,9.61257377147801e-07
517,9.417121810962961e-07
518,9.22247130940866e-07
519,9.028672788363925e-07
520,8.835776548245995e-07
521,8.643832655285033e-07
522,8.452890928529446e-07
523,8.263000926915345e-07
524,8.074211936403519e-07
525,7.886572957187263e-07
526,7.70013269097438e-07
527,7.514939528346634e-07
528,7.33104153619999e-07
529,7.148486445268841e-07
530,6.967321637737481e-07
531,6.787594134942082e-07
532,6.609350585166287e-07
533,6.432637251533637e-07
534,6.257500000000003e-07
535,6.083984287449036e-07
536,5.912135149893869e-07
537,5.741997190787999e-07
538,5.57361456944844e-07
539,5.40703098959421e-07
540,5.24228968800299e-07
541,5.079433423289047e-07
542,4.918504464805203e-07
543,4.7595445816718556e-07
544,4.6025950319357627e-07
545,4.447696551861552e-07
546,4.294889345358587e-07
547,4.144213073546067e-07
548,3.995706844458971e-07
549,3.8494092028975563e-07
550,3.7053581204230695e-07
551,3.5635909855022086e-07
552,3.4241445938029607e-07
553,3.287055138644279e-07
554,3.152358201602091e-07
555,3.020088743274126e-07
556,2.8902810942058607e-07
557,2.7629689459800353e-07
558,2.638185342472024e-07
559,2.515962671273256e-07
560,2.396332655285033e-07
561,2.279326344484862e-07
562,2.1649741078674004e-07
563,2.053305625562217e-07
564,1.9443498811302865e-07
565,1.8381351540413088e-07
566,1.7346890123337871e-07
567,1.6340383054597178e-07
568,1.536209157315837e-07
569,1.4412269594631464e-07
570,1.3491163645365283e-07
571,1.259901279846178e-07
572,1.1736048611724352e-07
573,1.0902495067557008e-07
574,1.0098568514829913e-07
575,9.324477612725845e-08
576,8.580423276582718e-08
577,7.866598625746121e-08
578,7.183188933445006e-08
579,6.530371578704186e-08
580,5.9083160003054075e-08
581,5.317183652809681e-08
582,4.7571279646516415e-08
583,4.228294298317242e-08
584,3.7308199126148014e-08
585,3.26483392704965e-08
586,2.830457288310979e-08
587,2.4278027388802912e-08
588,2.056974787768926e-08
589,1.71806968339279e-08
590,1.4111753885911763e-08
591,1.1363715577958243e-08
592,8.937295163567921e-09
593,6.8331224202980395e-09
594,5.051743486304693e-09
595,3.5936207185920072e-09
596,2.4591325730079997e-09
597,1.648573506015691e-09
598,1.1621538982673411e-09
599,1e-09
