epoch,total,score,position,dimension,angle
123,28940.0,25998.0,1216.4,1316.1,409.28
124,28846.0,25903.0,1215.3,1319.8,408.03
125,28618.0,25687.0,1204.8,1318.4,407.96
126,28602.0,25684.0,1198.5,1311.0,408.2
127,28367.0,25455.0,1191.8,1312.3,407.9
128,28278.0,25381.0,1187.3,1303.9,405.61
129,28042.0,25163.0,1178.7,1296.3,403.04
130,28242.0,25342.0,1187.6,1308.0,404.65
131,27929.0,25053.0,1175.7,1297.7,402.37
132,27859.0,24993.0,1170.4,1295.1,400.59
133,27882.0,25007.0,1174.4,1298.9,401.49
134,27626.0,24766.0,1164.8,1294.7,401.0
135,27588.0,24731.0,1162.8,1294.1,400.65
136,27272.0,24432.0,1148.4,1292.6,398.39
137,27235.0,24400.0,1146.1,1288.7,400.22
138,27198.0,24362.0,1146.5,1289.3,400.27
139,27176.0,24337.0,1148.6,1291.7,398.68
140,27043.0,24218.0,1141.7,1284.8,398.31
141,26957.0,24142.0,1139.1,1281.4,394.65
142,27048.0,24213.0,1145.0,1290.2,399.81
143,26646.0,23848.0,1122.9,1280.6,394.45
144,26896.0,24080.0,1136.3,1282.3,397.8
145,26708.0,23899.0,1129.6,1281.5,398.14
146,26746.0,23938.0,1129.2,1282.4,395.88
147,26705.0,23889.0,1132.4,1287.0,396.57
148,26701.0,23898.0,1130.0,1277.1,396.42
149,26747.0,23927.0,1136.5,1284.0,399.69
150,26744.0,23932.0,1131.9,1283.0,397.31
151,26695.0,23889.0,1128.7,1280.3,397.28
152,27077.0,24258.0,1140.0,1282.7,397.14
153,27614.0,24769.0,1150.9,1294.2,400.07
154,27772.0,24917.0,1161.9,1292.2,401.19
155,27868.0,25011.0,1162.7,1294.2,400.28
156,27460.0,24627.0,1148.6,1288.6,396.31
157,27591.0,24745.0,1157.4,1291.6,397.58
158,27559.0,24724.0,1154.3,1282.7,398.28
159,27585.0,24739.0,1157.9,1290.6,397.5
160,27499.0,24659.0,1152.6,1289.9,397.87
161,27460.0,24625.0,1150.1,1287.2,397.73
162,27594.0,24755.0,1155.5,1284.2,399.31
163,27303.0,24482.0,1143.2,1280.4,397.58
164,27195.0,24379.0,1141.1,1279.6,395.03
165,27048.0,24250.0,1131.5,1272.6,394.13
166,27146.0,24329.0,1139.6,1282.7,394.09
167,27013.0,24209.0,1132.4,1277.1,394.36
168,26986.0,24188.0,1130.5,1274.6,392.32
169,26872.0,24071.0,1127.6,1278.2,394.63
170,26777.0,23999.0,1119.2,1266.4,392.11
171,26680.0,23899.0,1121.1,1269.4,391.13
172,26786.0,24009.0,1125.7,1262.9,388.43
173,26700.0,23920.0,1120.8,1267.8,391.41
174,26459.0,23695.0,1111.4,1262.9,389.89
175,26396.0,23633.0,1108.9,1263.7,390.43
176,26356.0,23613.0,1106.6,1249.9,386.64
177,26280.0,23528.0,1104.5,1260.2,387.4
178,26158.0,23412.0,1097.4,1262.0,386.53
179,26193.0,23444.0,1101.5,1259.7,388.55
180,26103.0,23353.0,1100.1,1260.4,389.57
181,26005.0,23265.0,1095.9,1256.8,387.41
182,26128.0,23375.0,1101.2,1262.8,389.23
183,26017.0,23275.0,1095.0,1259.6,387.12
184,25811.0,23079.0,1085.2,1258.1,388.31
185,25924.0,23180.0,1093.9,1263.5,387.34
186,25674.0,22955.0,1080.9,1252.8,385.14
187,25739.0,23020.0,1084.4,1249.7,385.1
188,25691.0,22966.0,1082.2,1254.9,387.29
189,25698.0,22978.0,1081.8,1252.0,385.38
190,25536.0,22829.0,1076.0,1248.2,382.71
191,25468.0,22757.0,1075.9,1250.2,384.56
192,25768.0,23041.0,1084.1,1255.5,386.86
193,25445.0,22748.0,1071.0,1243.9,382.14
194,25387.0,22690.0,1068.6,1245.8,383.13
195,25432.0,22724.0,1073.7,1249.9,384.77
196,25517.0,22799.0,1078.2,1253.2,386.87
197,25478.0,22764.0,1077.7,1250.3,386.34
198,25378.0,22673.0,1071.8,1248.1,384.99
199,25420.0,22717.0,1072.5,1246.2,384.23
200,25404.0,22704.0,1070.6,1245.6,383.82
201,25348.0,22648.0,1070.1,1246.6,383.23
202,25751.0,23026.0,1083.1,1254.6,386.72
203,25767.0,23044.0,1082.3,1254.5,386.27
204,25882.0,23153.0,1085.4,1257.8,385.86
205,25953.0,23228.0,1087.0,1253.3,385.15
206,26029.0,23305.0,1090.6,1249.1,384.44
207,25916.0,23190.0,1088.0,1252.2,385.87
208,25875.0,23159.0,1084.2,1247.1,383.79
209,25720.0,23013.0,1078.2,1246.0,383.02
210,25665.0,22961.0,1076.8,1244.1,383.76
211,25782.0,23072.0,1081.5,1244.7,383.37
212,25773.0,23050.0,1084.2,1252.1,386.38
213,25590.0,22897.0,1073.6,1239.2,380.78
214,25651.0,22947.0,1074.3,1245.6,383.5
215,25672.0,22975.0,1075.6,1241.7,379.09
216,25541.0,22841.0,1073.1,1243.9,383.01
217,25580.0,22882.0,1073.5,1243.5,380.55
